billingDocument,billingDocumentType,creationDate,lastChangeDateTime,billingDocumentDate,billingDocumentIsCancelled,cancelledBillingDocument,totalNetAmount,transactionCurrency,companyCode,fiscalYear,accountingDocument,soldToParty,creationTime_hours,creationTime_minutes,creationTime_seconds,creationTime_formatted
90504274,F2,2025-04-03 00:00:00+00:00,2025-07-24 11:42:30.485000+00:00,2025-04-02 00:00:00+00:00,True,,253.39,INR,ABCD,2025,9400000275,320000083,11,31,13,11:31:13
90504242,F2,2025-04-03 00:00:00+00:00,2025-07-24 11:42:32.739000+00:00,2025-04-02 00:00:00+00:00,True,,151.69,INR,ABCD,2025,9400000243,320000083,11,31,13,11:31:13
90504239,F2,2025-04-03 00:00:00+00:00,2025-07-24 11:42:32.921000+00:00,2025-04-02 00:00:00+00:00,True,,253.39,INR,ABCD,2025,9400000240,320000083,11,31,13,11:31:13
90504230,F2,2025-04-03 00:00:00+00:00,2025-07-24 11:42:33.573000+00:00,2025-04-02 00:00:00+00:00,True,,253.39,INR,ABCD,2025,9400000231,320000083,11,31,13,11:31:13
90504225,F2,2025-04-03 00:00:00+00:00,2025-07-24 11:42:33.946000+00:00,2025-04-02 00:00:00+00:00,True,,253.39,INR,ABCD,2025,9400000226,320000083,11,31,13,11:31:13
90504219,F2,2025-04-03 00:00:00+00:00,2025-07-24 11:42:34.318000+00:00,2025-04-02 00:00:00+00:00,True,,253.39,INR,ABCD,2025,9400000220,320000083,11,31,13,11:31:13
90504267,F2,2025-04-03 00:00:00+00:00,2025-07-24 11:42:30.934000+00:00,2025-04-02 00:00:00+00:00,True,,337.29,INR,ABCD,2025,9400000268,320000083,11,31,13,11:31:13
90504237,F2,2025-04-03 00:00:00+00:00,2025-07-24 11:42:33.103000+00:00,2025-04-02 00:00:00+00:00,True,,168.64,INR,ABCD,2025,9400000238,320000083,11,31,13,11:31:13
90678703,F2,2025-05-16 00:00:00+00:00,2025-07-24 11:42:22.056000+00:00,2025-05-16 00:00:00+00:00,True,,589.95,INR,ABCD,2025,9400172480,320000082,10,10,18,10:10:18
90678702,F2,2025-05-16 00:00:00+00:00,2025-07-24 11:42:22.144000+00:00,2025-05-16 00:00:00+00:00,True,,299.0,INR,ABCD,2025,9400172479,320000082,10,10,18,10:10:18
90678701,F2,2025-05-16 00:00:00+00:00,2025-07-24 11:42:22.229000+00:00,2025-05-16 00:00:00+00:00,True,,254.0,INR,ABCD,2025,9400172478,320000082,10,10,18,10:10:18
90678700,F2,2025-05-16 00:00:00+00:00,2025-07-24 11:42:22.315000+00:00,2025-05-16 00:00:00+00:00,True,,245.9,INR,ABCD,2025,9400172477,320000082,10,10,18,10:10:18
90678699,F2,2025-05-16 00:00:00+00:00,2025-07-24 11:42:22.402000+00:00,2025-05-16 00:00:00+00:00,True,,179.0,INR,ABCD,2025,9400172476,320000082,10,10,18,10:10:18
90678698,F2,2025-05-16 00:00:00+00:00,2025-07-24 11:42:22.505000+00:00,2025-05-16 00:00:00+00:00,True,,382.9,INR,ABCD,2025,9400172475,320000082,10,10,18,10:10:18
90678696,F2,2025-05-16 00:00:00+00:00,2025-07-24 11:42:22.684000+00:00,2025-05-16 00:00:00+00:00,True,,167.0,INR,ABCD,2025,9400172473,320000082,10,10,18,10:10:18
90504300,F2,2025-04-03 00:00:00+00:00,2025-07-24 11:42:28.725000+00:00,2025-04-02 00:00:00+00:00,True,,464.41,INR,ABCD,2025,9400000301,320000083,11,31,13,11:31:13
90504298,F2,2025-04-03 00:00:00+00:00,2025-07-24 11:42:28.840000+00:00,2025-04-02 00:00:00+00:00,True,,533.05,INR,ABCD,2025,9400000299,320000083,11,31,13,11:31:13
90504297,F2,2025-04-03 00:00:00+00:00,2025-07-24 11:42:28.928000+00:00,2025-04-02 00:00:00+00:00,True,,215.25,INR,ABCD,2025,9400000298,320000083,11,31,13,11:31:13
90504295,F2,2025-04-03 00:00:00+00:00,2025-07-24 11:42:29.107000+00:00,2025-04-02 00:00:00+00:00,True,,464.41,INR,ABCD,2025,9400000296,320000083,11,31,13,11:31:13
90504293,F2,2025-04-03 00:00:00+00:00,2025-07-24 11:42:29.198000+00:00,2025-04-02 00:00:00+00:00,True,,464.41,INR,ABCD,2025,9400000294,320000083,11,31,13,11:31:13
90504292,F2,2025-04-03 00:00:00+00:00,2025-07-24 11:42:29.284000+00:00,2025-04-02 00:00:00+00:00,True,,422.03,INR,ABCD,2025,9400000293,320000083,11,31,13,11:31:13
90504290,F2,2025-04-03 00:00:00+00:00,2025-07-24 11:42:29.375000+00:00,2025-04-02 00:00:00+00:00,True,,216.1,INR,ABCD,2025,9400000291,320000083,11,31,13,11:31:13
90504289,F2,2025-04-03 00:00:00+00:00,2025-07-24 11:42:29.465000+00:00,2025-04-02 00:00:00+00:00,True,,216.1,INR,ABCD,2025,9400000290,320000083,11,31,13,11:31:13
90504288,F2,2025-04-03 00:00:00+00:00,2025-07-24 11:42:29.551000+00:00,2025-04-02 00:00:00+00:00,True,,205.93,INR,ABCD,2025,9400000289,320000083,11,31,13,11:31:13
90504286,F2,2025-04-03 00:00:00+00:00,2025-07-24 11:42:29.638000+00:00,2025-04-02 00:00:00+00:00,True,,464.41,INR,ABCD,2025,9400000287,320000083,11,31,13,11:31:13
90504285,F2,2025-04-03 00:00:00+00:00,2025-07-24 11:42:29.729000+00:00,2025-04-02 00:00:00+00:00,True,,464.41,INR,ABCD,2025,9400000286,320000083,11,31,13,11:31:13
90504284,F2,2025-04-03 00:00:00+00:00,2025-07-24 11:42:29.817000+00:00,2025-04-02 00:00:00+00:00,True,,464.41,INR,ABCD,2025,9400000285,320000083,11,31,13,11:31:13
90504283,F2,2025-04-03 00:00:00+00:00,2025-07-24 11:42:29.907000+00:00,2025-04-02 00:00:00+00:00,True,,464.41,INR,ABCD,2025,9400000284,320000083,11,31,13,11:31:13
90504280,F2,2025-04-03 00:00:00+00:00,2025-07-24 11:42:30.085000+00:00,2025-04-02 00:00:00+00:00,True,,215.25,INR,ABCD,2025,9400000281,320000083,11,31,13,11:31:13
90504276,F2,2025-04-03 00:00:00+00:00,2025-07-24 11:42:30.392000+00:00,2025-04-02 00:00:00+00:00,True,,215.25,INR,ABCD,2025,9400000277,320000083,11,31,13,11:31:13
90504273,F2,2025-04-03 00:00:00+00:00,2025-07-24 11:42:30.574000+00:00,2025-04-02 00:00:00+00:00,True,,422.03,INR,ABCD,2025,9400000274,320000083,11,31,13,11:31:13
90504272,F2,2025-04-03 00:00:00+00:00,2025-07-24 11:42:30.662000+00:00,2025-04-02 00:00:00+00:00,True,,422.03,INR,ABCD,2025,9400000272,320000083,11,31,13,11:31:13
90504270,F2,2025-04-03 00:00:00+00:00,2025-07-24 11:42:30.752000+00:00,2025-04-02 00:00:00+00:00,True,,455.93,INR,ABCD,2025,9400000271,320000083,11,31,13,11:31:13
90504269,F2,2025-04-03 00:00:00+00:00,2025-07-24 11:42:30.844000+00:00,2025-04-02 00:00:00+00:00,True,,191.53,INR,ABCD,2025,9400000270,320000083,11,31,13,11:31:13
90504246,F2,2025-04-03 00:00:00+00:00,2025-07-24 11:42:32.352000+00:00,2025-04-02 00:00:00+00:00,True,,221.19,INR,ABCD,2025,9400000247,320000083,11,31,13,11:31:13
90504245,F2,2025-04-03 00:00:00+00:00,2025-07-24 11:42:32.442000+00:00,2025-04-02 00:00:00+00:00,True,,329.66,INR,ABCD,2025,9400000246,320000083,11,31,13,11:31:13
90504238,F2,2025-04-03 00:00:00+00:00,2025-07-24 11:42:33.011000+00:00,2025-04-02 00:00:00+00:00,True,,287.29,INR,ABCD,2025,9400000239,320000083,11,31,13,11:31:13
90504234,F2,2025-04-03 00:00:00+00:00,2025-07-24 11:42:33.288000+00:00,2025-04-02 00:00:00+00:00,True,,215.25,INR,ABCD,2025,9400000235,320000083,11,31,13,11:31:13
90504232,F2,2025-04-03 00:00:00+00:00,2025-07-24 11:42:33.379000+00:00,2025-04-02 00:00:00+00:00,True,,179.66,INR,ABCD,2025,9400000233,320000083,11,31,13,11:31:13
90504231,F2,2025-04-03 00:00:00+00:00,2025-07-24 11:42:33.475000+00:00,2025-04-02 00:00:00+00:00,True,,216.1,INR,ABCD,2025,9400000232,320000083,11,31,13,11:31:13
90504227,F2,2025-04-03 00:00:00+00:00,2025-07-24 11:42:33.768000+00:00,2025-04-02 00:00:00+00:00,True,,185.59,INR,ABCD,2025,9400000228,320000083,11,31,13,11:31:13
90504226,F2,2025-04-03 00:00:00+00:00,2025-07-24 11:42:33.857000+00:00,2025-04-02 00:00:00+00:00,True,,215.25,INR,ABCD,2025,9400000227,320000083,11,31,13,11:31:13
