billingDocument,billingDocumentItem,material,billingQuantity,billingQuantityUnit,netAmount,transactionCurrency_item,referenceSdDocument,referenceSdDocumentItem,billingDocumentType,creationDate,lastChangeDateTime,billingDocumentDate,billingDocumentIsCancelled,cancelledBillingDocument,totalNetAmount,transactionCurrency_header,companyCode,fiscalYear,accountingDocument,soldToParty,creationTime_hours,creationTime_minutes,creationTime_seconds,creationTime_formatted
90504298,10,B8907367041603,1,PC,533.05,INR,80738109,10,F2,2025-04-03 00:00:00+00:00,2025-07-24 11:42:28.840000+00:00,2025-04-02 00:00:00+00:00,True,,533.05,INR,ABCD,2025,9400000299,320000083,11,31,13,11:31:13
90678703,10,B8907367032571,1,PC,305.9,INR,80754606,10,F2,2025-05-16 00:00:00+00:00,2025-07-24 11:42:22.056000+00:00,2025-05-16 00:00:00+00:00,True,,589.95,INR,ABCD,2025,9400172480,320000082,10,10,18,10:10:18
90678698,10,B8907367022152,1,PC,382.9,INR,80754601,10,F2,2025-05-16 00:00:00+00:00,2025-07-24 11:42:22.505000+00:00,2025-05-16 00:00:00+00:00,True,,382.9,INR,ABCD,2025,9400172475,320000082,10,10,18,10:10:18
90504301,10,B8907367039570,1,PC,1091.53,INR,80738111,10,F2,2025-04-03 00:00:00+00:00,2025-07-24 11:42:28.635000+00:00,2025-04-02 00:00:00+00:00,True,,1091.53,INR,ABCD,2025,9400000302,320000083,11,31,13,11:31:13
90678702,10,S8907367008620,1,PC,299.0,INR,80754605,10,F2,2025-05-16 00:00:00+00:00,2025-07-24 11:42:22.144000+00:00,2025-05-16 00:00:00+00:00,True,,299.0,INR,ABCD,2025,9400172479,320000082,10,10,18,10:10:18
90678703,30,S8907367008620,1,PC,284.05,INR,80754606,30,F2,2025-05-16 00:00:00+00:00,2025-07-24 11:42:22.056000+00:00,2025-05-16 00:00:00+00:00,True,,589.95,INR,ABCD,2025,9400172480,320000082,10,10,18,10:10:18
90628266,10,S8907367002512,1,PC,287.9,INR,80754576,10,F2,2025-05-09 00:00:00+00:00,2025-05-09 07:21:26.695000+00:00,2025-04-30 00:00:00+00:00,False,,287.9,INR,ABCD,2025,9400123663,320000082,7,21,19,07:21:19
90628265,10,S8907367013532,1,PC,245.9,INR,80754575,10,F2,2025-05-09 00:00:00+00:00,2025-05-09 07:21:26.332000+00:00,2025-04-30 00:00:00+00:00,False,,245.9,INR,ABCD,2025,9400123662,320000082,7,21,19,07:21:19
90678700,10,S8907367013532,1,PC,245.9,INR,80754603,10,F2,2025-05-16 00:00:00+00:00,2025-07-24 11:42:22.315000+00:00,2025-05-16 00:00:00+00:00,True,,245.9,INR,ABCD,2025,9400172477,320000082,10,10,18,10:10:18
90678699,10,S8907367025344,1,PC,179.0,INR,80754602,10,F2,2025-05-16 00:00:00+00:00,2025-07-24 11:42:22.402000+00:00,2025-05-16 00:00:00+00:00,True,,179.0,INR,ABCD,2025,9400172476,320000082,10,10,18,10:10:18
90678696,10,S8907367013587,1,PC,167.0,INR,80754574,10,F2,2025-05-16 00:00:00+00:00,2025-07-24 11:42:22.684000+00:00,2025-05-16 00:00:00+00:00,True,,167.0,INR,ABCD,2025,9400172473,320000082,10,10,18,10:10:18
90678698,20,S8907367011866,2,PC,0.0,INR,80754601,20,F2,2025-05-16 00:00:00+00:00,2025-07-24 11:42:22.505000+00:00,2025-05-16 00:00:00+00:00,True,,382.9,INR,ABCD,2025,9400172475,320000082,10,10,18,10:10:18
90678703,20,S8907367025412,2,PC,0.0,INR,80754606,20,F2,2025-05-16 00:00:00+00:00,2025-07-24 11:42:22.056000+00:00,2025-05-16 00:00:00+00:00,True,,589.95,INR,ABCD,2025,9400172480,320000082,10,10,18,10:10:18
90504279,20,S8907367013082,2,PC,0.0,INR,80738094,20,F2,2025-04-03 00:00:00+00:00,2025-07-24 11:42:30.190000+00:00,2025-04-02 00:00:00+00:00,True,,327.97,INR,ABCD,2025,9400000280,320000083,11,31,13,11:31:13
